Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,108.779999,110.00,108.199997,109.989998,51252400,109.989998
2016-03-01,97.650002,110.419998,97.419998,108.989998,34835400,108.989998
2016-02-01,96.470001,98.889999,92.589996,96.690002,42018600,96.690002
2016-01-04,102.610001,105.849998,92.389999,97.339996,70329700,96.814659
2015-12-01,118.75,119.860001,104.82,105.260002,43750400,104.691917
2015-11-02,120.800003,123.82,111.00,118.300003,39491000,117.661545
2015-10-01,109.07,121.220001,107.309998,119.50,52797300,118.348465
2015-09-01,110.150002,116.889999,107.360001,110.300003,60620000,109.237122
2015-08-03,121.50,122.57,92.00,112.760002,79152700,111.673416
2015-07-01,126.900002,132.970001,119.220001,121.300003,50017800,119.589798
2015-06-01,130.279999,131.389999,124.480003,125.43,41949200,123.661568
2015-05-01,126.099998,132.970001,123.360001,130.279999,50251800,128.443192
2015-04-01,124.82,134.539993,123.099998,125.150002,51396700,122.872284
2015-03-02,129.25,130.279999,121.629997,124.43,53669600,122.165382
2015-02-02,118.050003,133.600006,116.080002,128.460007,63081500,126.122047
2015-01-02,111.389999,120.00,104.629997,117.160004,69419400,114.575516
2014-12-01,118.809998,119.25,106.260002,110.379997,50681700,107.945068
2014-11-03,108.220001,119.75,107.720001,118.93,44485400,116.306465
2014-10-01,100.589996,108.040001,95.18,108.00,61083400,105.161575
2014-09-02,103.059998,103.739998,96.139999,100.75,75318200,98.102119
2014-08-01,94.900002,102.900002,93.279999,102.50,46746200,99.806122
2014-07-01,93.519997,99.440002,92.57,95.599998,49633100,92.626732
2014-06-02,633.959961,651.26001,89.650002,92.93,59829300,90.039772
2014-05-01,592.00,644.169983,580.330017,633.00,74996300,87.616142
2014-04-01,537.76001,599.429993,511.329987,590.089966,82044000,81.223129
2014-03-03,523.419983,549.00,522.809998,536.73999,61552000,73.879753
2014-02-03,502.610016,551.190002,499.300018,526.23999,82267500,72.434471
2014-01-02,555.679993,560.200012,493.549988,500.599976,109889900,68.495255
2013-12-02,558.00,575.140015,538.799988,561.02002,86672400,76.762306
2013-11-01,524.02002,558.330017,512.380005,556.069946,69291000,76.085014
2013-10-01,478.449982,539.25,478.279999,522.699951,88189400,71.103989
2013-09-03,493.099976,507.919983,447.220001,476.749969,111138700,64.85331
2013-08-01,455.749969,513.73999,453.259979,487.220032,94666300,66.277573
2013-07-01,402.690002,457.339966,401.220001,452.529968,77966700,61.154831
2013-06-03,450.72998,454.429993,388.869995,396.529999,94963100,53.587002
2013-05-01,444.459991,465.75,418.899994,449.730042,111725300,60.776443
2013-04-01,441.899994,445.25,385.100006,442.779999,132443500,59.443756
2013-03-01,438.00,469.949982,419.00,442.660004,120246400,59.42765
2013-02-01,459.109985,484.940002,437.660004,441.400024,127191400,59.258495
2013-01-02,553.820007,555.00,435.00,455.48999,160032800,60.795773
2012-12-03,593.650024,594.590027,501.230011,532.169983,159903000,71.03051
2012-11-01,598.219971,603.00,505.75,585.279968,158585300,78.119278
2012-10-01,671.159973,676.75,587.700012,595.320007,150628900,79.098083
2012-09-04,665.76001,705.070007,656.00,667.100037,128080400,88.635239
2012-08-01,615.910034,680.869995,600.25,665.23999,93636100,88.388107
2012-07-02,584.730042,619.869995,570.00,610.76001,111571100,80.802612
2012-06-01,569.159973,590.00,548.50,584.00,98539600,77.262306
2012-05-01,584.900024,596.76001,522.179993,577.730042,131795600,76.4328
2012-04-02,601.830017,644.00,555.00,583.97998,201314100,77.259659
2012-03-01,548.169983,621.450012,516.219971,599.549988,185402000,79.31955
2012-02-01,458.410004,547.610046,453.980011,542.440002,154007000,71.763985
2012-01-03,409.399994,458.240021,409.00,456.47998,90644200,60.391602
2011-12-01,382.540009,409.089996,377.679993,405.00,77216600,53.580879
2011-11-01,397.410004,408.00,363.320007,382.199982,111543300,50.564472
2011-10-03,380.369995,426.699982,354.23999,404.779999,161034800,53.551773
2011-09-01,385.820007,422.860016,366.480011,381.320007,149108200,50.448051
2011-08-01,397.779999,399.50,353.019989,384.830017,181143300,50.912422
2011-07-01,335.950012,404.50,334.200012,390.47998,141081600,51.659904
2011-06-01,348.869995,352.130005,310.50,335.670013,108940900,44.408627
2011-05-02,349.73999,351.830017,329.420013,347.829987,87259700,46.017376
2011-04-04,344.309998,355.130005,320.160004,350.130005,129493500,46.321663
